observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs4201;74;ES;SULDESTE;30;0.0;2021;0 Km;60;68906.26;1.19;12300.0;11808.0;0;N;N;EF;764;3.0;A2;BOM;C3;S;0;0.0
obs3025;37;SP;SULDESTE;30;52.17;2014;>= 3 anos;48;14730.61;1.04;4100.0;3321.0;10;N;N;EF;700;;;;;N;7;0.0
obs8371;59;RS;SUL;30;63.93;2022;0 Km;24;28963.85;0.0;8610.0;6027.0;14;N;N;EF;760;3.0;A4;BOM;A1;S;-1;0.0
obs6095;76;RJ;SULDESTE;30;40.2;2022;0 Km;24;38566.88;0.83;2460.0;2788.0;0;N;N;EF;768;3.0;A4;BOM;A1;S;-1;0.0
obs8740;55;DF;CENTRO-OESTE;30;37.27;2022;0 Km;49;25481.0;1.1;10660.0;8446.0;6;N;N;EF;760;3.0;A1;BOM;B3;S;-1;0.0
obs7832;56;PR;SUL;30;28.0;2021;0 Km;49;104696.2;1.17;10660.0;4469.0;29;N;N;EF;696;3.0;A4;RUIM;B3;S;0;0.0
obs3478;52;PR;SUL;30;50.64;2021;0 Km;48;30299.87;0.72;6560.0;1845.0;12;S;N;EF;742;1.0;A4;BOM;A2;S;0;0.0
obs8333;61;MA;NORDESTE;30;41.67;2019;2 anos;48;24392.87;1.2;6150.0;4305.0;11;N;N;EF;665;;;;;S;2;0.0
obs6135;49;MS;CENTRO-OESTE;30;24.9;2016;>= 3 anos;48;23546.29;1.83;4182.0;861.0;17;N;N;EF;662;;;;;S;5;0.0
obs3695;67;SC;SUL;30;57.81;2021;0 Km;24;30459.15;1.12;6560.0;2337.0;23;N;N;EF;747;3.0;A4;BOM;A1;S;0;0.0
obs4023;62;SP;SULDESTE;30;0.0;2022;0 Km;60;39275.37;1.14;3280.0;3239.0;28;N;N;EF;760;1.0;A4;BOM;C3;;-1;0.0
obs6206;46;PE;NORDESTE;30;24.31;2022;0 Km;49;53203.29;1.16;4592.0;1845.0;35;N;N;EF;678;1.0;A1;BOM;B3;N;-1;0.0
obs929;45;PE;NORDESTE;30;37.73;2021;0 Km;48;25758.51;0.99;4510.0;4305.0;15;N;N;EF;706;3.0;A2;BOM;B2;S;0;0.0
obs1008;36;RJ;SULDESTE;30;67.83;2021;0 Km;24;27825.75;0.0;9840.0;1353.0;12;N;N;EF;746;1.0;A4;BOM;A1;S;0;0.0
obs2780;39;PE;NORDESTE;30;24.89;2022;0 Km;49;43752.08;1.16;3936.0;1312.0;34;N;N;EF;669;1.0;A1;RUIM;B3;S;-1;0.0
obs2556;48;BA;NORDESTE;30;44.44;2017;>= 3 anos;48;17604.11;1.43;4100.0;1804.0;12;N;S;EF;640;;;;;N;4;0.0
obs5151;52;SP;SULDESTE;30;48.25;2021;0 Km;24;42180.37;0.51;8200.0;4305.0;24;N;N;EF;715;3.0;A2;RUIM;A1;S;0;0.0
obs9059;33;PB;NORDESTE;30;44.1;2022;0 Km;60;24828.06;1.08;3280.0;820.0;18;N;N;EF;737;1.0;A2;BOM;A3;;-1;0.0
obs5328;65;SP;SULDESTE;30;73.0;2021;0 Km;24;24410.9;0.0;5740.0;15867.0;18;N;N;EF;720;3.0;A4;BOM;A1;S;0;0.0
obs4434;81;PA;NORTE;30;70.16;2021;0 Km;24;29163.15;0.3;15580.0;1517.0;8;N;N;EF;747;3.0;A2;BOM;A1;S;0;0.0
