observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs629;41;SP;SULDESTE;30;28.76;2021;0 Km;37;29484.85;1.13;5740.0;5986.0;19;N;N;EF;697;3.0;A2;BOM;B2;S;4;0.0
obs5046;51;SP;SULDESTE;30;26.12;2015;>= 3 anos;36;24508.01;1.77;4100.0;1394.0;23;N;N;EF;668;;;;;S;10;0.0
obs4188;65;SP;SULDESTE;30;65.02;2021;0 Km;18;30971.55;0.0;9840.0;2050.0;0;N;N;EF;777;3.0;A4;RUIM;A1;N;4;0.0
obs2341;53;PA;NORTE;30;27.19;2021;0 Km;49;73003.75;1.12;6560.0;5945.0;34;N;N;EF;746;3.0;A2;BOM;B3;S;4;0.0
obs6247;59;SP;SULDESTE;30;39.79;2022;0 Km;36;35958.95;0.87;3936.0;3198.0;0;N;N;EF;722;1.0;A4;PESS;B1;;3;0.0
obs7795;48;PR;SUL;30;69.73;2022;0 Km;36;21911.67;0.55;4100.0;3321.0;17;N;N;EF;715;3.0;A4;BOM;A1;S;3;0.0
obs7579;66;AL;NORDESTE;30;35.96;2022;0 Km;60;48470.34;1.14;4100.0;3034.0;28;N;N;EF;751;3.0;A2;RUIM;B3;S;3;0.0
obs8761;71;SP;SULDESTE;30;50.02;2018;>= 3 anos;12;13493.75;0.6;2214.0;1558.0;55;N;N;EF;638;;;;;N;7;0.0
obs1852;49;AP;NORTE;30;29.42;2021;0 Km;49;63651.04;1.03;5576.0;4264.0;34;N;N;EF;691;1.0;A2;BOM;B3;S;4;0.0
obs955;43;MG;SULDESTE;30;23.55;2021;0 Km;48;46482.67;1.09;5740.0;1886.0;0;N;N;EF;763;2.0;A4;BOM;B2;S;4;0.0
obs1626;59;MA;NORDESTE;30;69.98;2021;0 Km;36;20484.4;0.78;3690.0;1927.0;18;N;N;EF;747;3.0;A2;BOM;A1;S;4;0.0
obs9336;75;RS;SUL;30;63.2;2022;0 Km;24;31561.75;0.0;16400.0;2665.0;8;N;N;EF;720;2.0;A4;BOM;A1;S;3;0.0
obs989;38;SC;SUL;30;32.94;2021;0 Km;49;33979.77;1.27;6560.0;2542.0;16;N;N;EF;737;2.0;A4;BOM;B3;S;4;0.0
